"experiment_group","customer_id","customer_name","signup_date","device","total_transaction","total_session"
A,160,Tina Johnson,"2024-07-04",mobile,31.36,3
B,161,Kimberly Murillo,"2024-07-10",mobile,73.81,3
A,162,Heather Gould,"2021-06-23",mobile,40.42,4
B,163,Mariah Hebert,"2022-11-16",mobile,40.34,3
B,167,Christine Barry,"2021-02-06",mobile,237.34,4
B,169,Michael Smith,"2024-05-12",mobile,173.78,3
B,171,Jennifer Martinez,"2022-11-27",mobile,10.21,5
A,172,Christopher Mills,"2020-01-01",mobile,183.91,2
B,173,Melinda Riley,"2022-03-01",mobile,329.06,4
B,175,Daniel Foster,"2022-04-06",mobile,159.72,4
B,181,Jennifer Durham,"2024-04-16",mobile,438.82,4
A,186,Jessica Branch,"2024-08-28",mobile,201.48,4
A,188,Brianna Smith,"2022-11-23",mobile,303.1,4
A,190,Anita Roberts,"2021-12-06",mobile,109.31,2
A,192,Mary Bell,"2022-08-24",mobile,106.4,6
B,193,Zachary Morales,"2025-05-18",mobile,180.55,7
A,196,Dawn Graham,"2024-05-30",mobile,373.48,4
B,197,Lauren Dominguez,"2025-08-29",mobile,79.23,3
A,202,Kristin Thompson,"2024-05-19",mobile,445.93,2
B,203,Victor Jackson,"2025-02-18",mobile,47.62,2
A,206,Mark Wilson,"2024-05-20",mobile,249.84,3
B,207,Linda Murray,"2024-04-03",mobile,256.62,4
A,210,Benjamin Smith,"2020-12-16",mobile,428.76,6
A,214,Stephanie Fleming,"2023-08-09",mobile,77.1,7
B,215,Jamie Holland,"2022-05-07",mobile,147.06,5
A,216,Sara King,"2023-12-25",mobile,461.91,4
A,218,Whitney Morrison,"2022-01-06",mobile,307.51,4
A,222,Carly Phillips,"2023-08-11",mobile,74.02,2
B,225,Matthew Cunningham,"2021-06-17",mobile,75.36,5
B,227,Bradley Guerrero,"2023-06-28",mobile,82.47,5
A,228,Jeremy Green,"2021-05-18",mobile,155.39,5
B,229,Connie Hood,"2021-08-23",mobile,116.54,3
B,231,Jason Jones,"2025-01-13",mobile,54.03,5
A,246,Emily Rogers,"2020-03-24",mobile,228.32,5
B,251,Katrina Reid,"2022-03-20",mobile,213.07,4
A,254,Tanya Willis,"2021-05-12",mobile,92.08,2
B,259,Curtis Morrison,"2020-10-05",mobile,147.49,4
B,263,Felicia Snyder,"2020-06-22",mobile,20.44,3
A,264,Evan Valdez,"2025-05-11",mobile,188.24,5
A,266,Leah Peters,"2021-09-07",mobile,347.3,3
A,270,Jonathan Peters,"2025-04-29",mobile,214.03,4
A,276,Peter Day,"2023-04-05",mobile,20.98,2
A,280,Sharon White,"2025-03-26",mobile,44.18,6
B,283,Michelle Macias,"2022-09-15",mobile,51.34,6
B,289,Richard Crane,"2020-01-14",mobile,488.48,5
B,293,Ryan Bowers,"2020-04-20",mobile,75.91,2
A,302,Jodi Miller,"2022-02-12",mobile,435.02,4
B,307,Ricky Williamson,"2021-01-08",mobile,78.99,2
A,308,Paul Booker,"2022-11-10",mobile,100.04,5
B,309,James Lane,"2021-11-26",mobile,12.97,4
A,310,Max Rivera,"2025-03-19",mobile,119.42,4
B,315,Billy Roth,"2022-03-15",mobile,38.57,6
A,320,Eric Delacruz,"2023-03-25",mobile,121.08,5
A,322,Robert Gonzalez,"2021-07-07",mobile,160.3,6
B,323,Karl Morris,"2023-11-24",mobile,62.24,4
A,326,Kathleen Smith,"2025-08-27",mobile,168.69,3
B,327,Rebecca Ferguson,"2021-08-14",mobile,781.26,5
B,335,John Smith,"2025-01-05",mobile,203.33,6
B,339,Brian Collier,"2023-06-12",mobile,162.55,2
B,343,Shelley Castillo,"2025-04-20",mobile,457.37,4
B,345,Katie Richardson,"2023-02-23",mobile,154.05,3
A,352,Jorge Jackson,"2025-01-03",mobile,234.88,2
A,354,Erin Jones,"2020-06-01",mobile,287.94,5
A,358,Audrey Schmitt,"2020-08-18",mobile,231.1,5
B,359,Kristina Rich,"2021-04-25",mobile,260.2,5
B,369,Kayla Bennett,"2022-06-12",mobile,458.73,3
A,372,James Collins,"2020-09-20",mobile,143.78,4
B,373,Karen Smith,"2022-03-28",mobile,104.84,4
B,375,Joshua Russell,"2024-03-19",mobile,101.07,4
A,376,William Ward DVM,"2025-01-04",mobile,199.68,4
B,381,Timothy Dean,"2024-12-16",mobile,11.16,4
A,382,Douglas Nichols,"2023-02-13",mobile,853.33,3
B,387,Jennifer Porter,"2020-01-12",mobile,223.79,3
B,389,Aaron Berry,"2024-10-02",mobile,25.48,2
A,392,Michele Salazar,"2022-11-14",mobile,258.56,4
B,393,Daniel Walker,"2024-12-31",mobile,94.39,2
A,394,Michael Jones,"2024-04-11",mobile,158.16,3
B,395,Anthony Griffin,"2025-08-25",mobile,154.11,6
A,398,James Blevins,"2024-05-06",mobile,27.79,7
A,400,Darlene May,"2024-02-08",mobile,80.65,5
B,401,Cheryl Gilbert,"2023-11-05",mobile,13.82,3
B,405,Henry Garcia,"2022-04-27",mobile,75.36,3
A,406,Jordan Garcia,"2020-04-10",mobile,234.11,4
A,408,Christine King,"2021-12-13",mobile,107.6,3
A,414,Shannon Jackson,"2022-02-01",mobile,407.17,3
B,415,Bailey Jimenez,"2020-06-16",mobile,301.43,8
B,425,Donald Parker,"2025-06-25",mobile,63.52,2
A,426,Adriana Jones,"2021-01-15",mobile,216.54,2
B,433,Rebecca Patel,"2023-12-06",mobile,187.48,4
A,436,Lynn Holland,"2023-09-30",mobile,138.66,2
B,439,Christine Green,"2023-09-06",mobile,56.32,6
A,442,James Horton,"2024-08-08",mobile,43.85,4
B,449,James Hubbard,"2025-08-20",mobile,11.92,6
B,453,Antonio Lee,"2022-09-23",mobile,137.37,2
B,455,Tony Warren,"2020-07-28",mobile,257.52,3
B,457,Lynn Garcia,"2021-06-17",mobile,44.56,5
A,458,Karen Scott,"2024-09-06",mobile,78.95,2
B,459,Melissa Johnson,"2025-03-30",mobile,108.68,3
A,466,Laura Carrillo,"2021-04-03",mobile,97.3,4
B,469,Amy Young,"2024-07-13",mobile,448.52,3
A,470,Kelly Walker,"2025-05-24",mobile,150.37,2
A,472,Walter Harrell,"2021-01-10",mobile,523.71,5
B,479,Crystal Moss,"2023-11-17",mobile,109.67,2
B,481,Jesse Rivera,"2020-05-21",mobile,368.36,5
A,482,Melissa Rhodes,"2023-02-17",mobile,12.64,4
A,484,Samuel Wong,"2023-01-13",mobile,306.15,5
B,485,Leah Gonzalez,"2025-08-06",mobile,107.98,2
B,489,Timothy Baker,"2022-03-30",mobile,173.73,5
B,495,Kathryn Boyd,"2025-10-07",mobile,345.51,7
A,496,Jose Lewis,"2025-09-23",mobile,83.24,3
B,497,Dr. Stephanie Anderson,"2020-11-08",mobile,161.66,5
B,499,Emily Carter,"2023-04-20",mobile,519.8,4
A,500,Julia Gonzalez,"2024-11-29",mobile,364.54,3
A,502,Austin Lara,"2020-11-03",mobile,159.49,3
B,505,Barry Christensen,"2022-08-09",mobile,603.35,7
B,507,Melody Stewart,"2024-01-31",mobile,375.01,3
A,510,Olivia Long,"2020-06-05",mobile,728.95,5
B,511,Katherine Dillon,"2022-02-24",mobile,73.44,2
B,513,Roberto Roy,"2022-01-23",mobile,48.62,5
A,514,Tiffany Murphy,"2021-11-25",mobile,69.49,2
B,519,Sherry Taylor,"2024-05-10",mobile,55.18,4
B,521,Gabriel Johnson,"2023-06-16",mobile,59.77,3
B,523,Stephanie Ruiz,"2024-11-20",mobile,108.95,3
B,531,Thomas Arnold,"2021-02-02",mobile,255.12,4
A,536,Christopher Brennan,"2023-07-13",mobile,301.86,6
B,537,Russell Coleman,"2022-07-21",mobile,25.51,6
B,541,Jonathan White,"2020-12-06",mobile,47.24,5
B,543,Tracy Powell,"2022-05-08",mobile,122.24,5
B,545,Mark Mora,"2022-01-09",mobile,29.64,5
A,548,Marilyn Mitchell,"2020-07-14",mobile,15.86,3
B,549,Renee Alexander,"2022-07-25",mobile,77.31,4
B,551,Krystal Vincent,"2020-02-19",mobile,471.96,3
A,552,Lori Smith,"2020-09-10",mobile,329.31,8
A,554,Bryan Maddox,"2023-07-19",mobile,508.23,2
B,555,Brittany Monroe,"2020-05-25",mobile,191.36,5
B,569,Philip Berry,"2020-09-04",mobile,119.02,3
A,570,Brandi Bennett,"2022-03-16",mobile,17.78,3
B,571,Angela Cole,"2021-06-24",mobile,76.04,5
A,576,John Miller,"2022-06-06",mobile,93.06,4
A,578,Sara Green,"2022-11-15",mobile,305.54,3
B,579,Courtney Green,"2020-09-10",mobile,24.47,2
A,584,Leah Martin,"2020-10-02",mobile,75.93,4
B,585,Mr. Gary Lane Jr.,"2024-01-26",mobile,37.79,3
B,589,Tammy Gay,"2021-11-14",mobile,23.83,2
A,590,Emily Carroll,"2025-05-15",mobile,367.35,3
B,591,Samantha Smith,"2021-12-10",mobile,159.8,8
B,593,Kyle Wolfe,"2024-04-15",mobile,206.67,3
B,595,Martha Martin,"2021-01-22",mobile,327.05,6
A,608,Erin Johnson,"2025-10-05",mobile,62.1,6
B,609,Benjamin Daniels,"2021-10-11",mobile,516.71,2
A,610,Dawn Garcia,"2022-11-01",mobile,13.46,4
A,612,Allison Lopez,"2020-06-28",mobile,280.16,4
A,614,Candice Kim,"2024-04-15",mobile,184.12,6
B,615,David Solomon,"2021-03-05",mobile,334.42,5
A,616,April Williams,"2022-11-20",mobile,202.41,4
B,619,Courtney Ramirez,"2022-11-08",mobile,405.56,6
A,624,Megan Reid,"2024-04-01",mobile,37.77,2
A,626,Nathan Mclaughlin,"2023-09-04",mobile,73.35,4
B,637,Debra Parsons,"2022-06-18",mobile,601.77,8
A,644,William May,"2022-12-11",mobile,74.58,4
A,646,Joseph Ward,"2020-02-27",mobile,242.72,5
B,647,Amy Bennett,"2021-01-14",mobile,31.86,3
B,651,Megan Paul,"2021-01-13",mobile,138.36,2
B,655,Clayton Edwards,"2022-03-13",mobile,143.83,5
A,662,Kathryn Johnson,"2020-03-04",mobile,18.71,3
B,663,Mary Sullivan,"2022-08-09",mobile,265.42,4
A,666,Aaron Lindsey,"2023-06-02",mobile,130.15,5
A,668,John Davenport,"2021-01-25",mobile,109.45,3
B,669,Jordan Hernandez,"2023-06-25",mobile,54.77,4
A,672,Randall Hudson,"2021-01-30",mobile,127.01,2
B,673,Linda Ayers,"2022-05-26",mobile,43.7,2
A,676,Clarence Smith,"2020-10-05",mobile,185.24,3
B,683,Corey Meyers,"2023-06-28",mobile,195.58,4
B,685,Gabrielle Anderson,"2025-01-05",mobile,662.09,9
A,686,Melissa Martin,"2022-02-28",mobile,103.14,5
B,691,James Lynch,"2021-11-18",mobile,13.62,2
A,696,Breanna Nicholson,"2024-11-07",mobile,181.92,2
A,702,Kayla Larson,"2022-01-04",mobile,134.87,2
B,703,Selena Solis,"2024-07-27",mobile,242.81,7
B,707,Michael Yang,"2025-07-25",mobile,24.84,5
A,710,Judy Cook,"2021-12-24",mobile,35.43,6
A,718,Julie Reed,"2024-03-30",mobile,210.65,9
B,723,Michael Stafford,"2025-07-04",mobile,468.21,6
A,726,John Jenkins,"2024-01-05",mobile,75.93,2
A,730,Lauren Smith,"2021-09-06",mobile,563.06,6
A,732,Mr. Jonathan Johnson DDS,"2021-03-31",mobile,299.9,11
A,734,John Garcia,"2022-07-31",mobile,272.02,6
A,738,Carmen Baker,"2022-10-22",mobile,465.1,2
B,739,Veronica Carrillo,"2023-08-29",mobile,176.23,8
A,740,Jose Cruz,"2025-07-03",mobile,48.32,4
B,741,Donna Wood,"2022-04-26",mobile,487.44,2
B,751,Michael Miller,"2024-03-28",mobile,91.14,3
B,753,Jesse Cox,"2021-08-06",mobile,423.17,3
B,759,Ronald Roberts,"2021-10-05",mobile,165.11,3
B,767,Stacy Young,"2023-12-09",mobile,194.06,7
A,772,Olivia Anderson,"2020-05-16",mobile,190.09,4
A,774,Manuel Flores,"2022-02-25",mobile,169.84,4
B,775,Elizabeth Hall,"2024-10-23",mobile,281.29,4
A,778,Mr. Matthew George II,"2025-09-27",mobile,83.31,4
A,784,Valerie Chandler,"2021-02-12",mobile,72.39,3
B,793,Marcus Callahan,"2023-12-11",mobile,854.28,4
A,794,Timothy Morgan,"2024-09-22",mobile,43.76,3
B,795,John Freeman,"2021-01-02",mobile,821.01,3
A,798,Amanda Mahoney,"2025-07-31",mobile,199.84,2
B,799,Grant Briggs,"2023-08-01",mobile,193.29,3
B,801,Amanda Martinez,"2024-06-01",mobile,394.23,5
A,802,Denise Johnson,"2022-03-22",mobile,233.23,5
B,803,Nancy Clark MD,"2020-02-22",mobile,24.6,3
A,804,Michael Hunter,"2023-10-26",mobile,74.14,3
B,811,Carol Cooper,"2023-11-27",mobile,208.48,4
A,812,Jessica Wilson,"2021-11-01",mobile,52.06,3
A,816,Nathan Foster,"2021-01-13",mobile,1246.78,3
B,817,Keith Hernandez,"2024-11-15",mobile,301.63,2
B,819,Shelly Leach,"2020-07-21",mobile,249.66,7
A,820,Sharon Hodge,"2022-02-17",mobile,475.42,3
B,825,Erin Obrien,"2023-10-19",mobile,200.65,3
B,829,Jill Walter,"2023-06-08",mobile,581.74,5
A,834,Rodney Pierce,"2023-12-02",mobile,130.29,4
A,838,Rachel Tran,"2020-12-04",mobile,144.06,7
A,846,Christopher Turner,"2022-03-06",mobile,277.86,6
A,850,Charles Juarez,"2022-05-01",mobile,66.56,2
A,854,Mary Jordan,"2025-08-03",mobile,17.42,3
B,863,Thomas Harrison Jr.,"2022-09-18",mobile,176.46,4
A,864,Blake Stout,"2023-06-04",mobile,115.16,6
B,865,Katelyn Allison,"2024-09-09",mobile,85.25,4
B,869,Brent Valentine,"2025-03-08",mobile,50.31,3
A,872,Mitchell Cabrera,"2020-06-21",mobile,83.92,2
A,878,Blake Cuevas,"2024-09-16",mobile,445.92,4
A,882,Elizabeth Lee,"2022-05-28",mobile,135.02,2
A,890,Lisa Henderson,"2020-01-15",mobile,87.34,4
B,895,Jeffrey Johnson,"2024-02-29",mobile,71.75,8
A,898,Tiffany Johnson,"2020-05-20",mobile,257.58,2
B,899,William Ellison,"2024-11-05",mobile,145.76,3
B,901,Steven Smith,"2024-10-01",mobile,242.47,3
B,903,Barbara Smith,"2021-11-06",mobile,65.44,6
A,904,Cynthia Vincent,"2024-05-02",mobile,11.72,2
B,905,Mrs. Patricia Solis,"2025-08-31",mobile,61.83,3
A,906,Angela Christensen,"2021-11-20",mobile,358.37,6
B,907,Amy Graham MD,"2020-06-24",mobile,162.21,6
A,912,Jennifer Allen,"2022-09-29",mobile,27.22,3
A,916,David Reyes,"2022-12-21",mobile,94.96,3
B,917,Frederick Perry,"2022-11-16",mobile,35.86,4
B,919,Daniel Wilkins,"2025-01-05",mobile,523.53,5
A,922,Curtis Heath,"2023-06-25",mobile,107.54,4
B,923,Brian Butler,"2020-03-20",mobile,120.06,4
B,929,Melissa Martin DDS,"2020-10-22",mobile,206.9,9
B,933,Carla Flowers,"2024-01-13",mobile,495.47,7
B,935,Casey Smith,"2020-09-20",mobile,186.55,3
B,939,Stephanie Parker,"2020-10-14",mobile,172.71,5
B,941,Kimberly Valentine,"2021-06-26",mobile,210.25,5
A,942,Melissa Scott,"2023-02-06",mobile,218.85,4
A,948,Haley Mitchell,"2022-10-03",mobile,558.72,5
B,949,David Moore,"2020-11-11",mobile,107.41,3
A,950,Joanne Garcia,"2024-03-14",mobile,19.63,5
A,952,Jessica Schaefer,"2023-07-04",mobile,138.74,3
B,955,Sara Davis,"2024-09-25",mobile,291.19,2
A,958,Abigail Anderson,"2025-07-19",mobile,226.91,3
B,959,Dennis Delacruz,"2022-12-09",mobile,19.96,5
A,962,Jamie Ross,"2020-01-05",mobile,14.55,2
A,964,Catherine Perkins,"2021-01-27",mobile,327.48,8
A,968,Mark Johnson,"2024-04-04",mobile,297.73,4
B,969,James Hall,"2025-03-08",mobile,285.91,3
A,972,Frank Horne,"2025-05-26",mobile,160.43,2
B,975,Amanda Martinez,"2024-07-11",mobile,62.33,4
B,977,Charles Glenn,"2023-10-04",mobile,276.42,7
B,979,Stephanie Horn,"2020-10-10",mobile,16.82,4
B,981,Rachel Flowers,"2025-05-07",mobile,23.53,2
B,987,Kayla Mckinney,"2023-05-01",mobile,15.19,4
A,988,Gregory Williams,"2025-08-28",mobile,15.19,4
B,989,Robert Curtis,"2022-08-02",mobile,301.88,6
B,997,John Mcpherson,"2024-07-02",mobile,32.35,3
A,1000,Rachael Roberts,"2024-05-01",mobile,65.88,3
A,1004,Michele Rowland,"2024-08-11",mobile,603.53,4
B,1005,Jessica Barnes,"2021-11-21",mobile,206.79,5
B,1007,Helen Ho,"2022-03-15",mobile,499.73,5
A,1008,Diana Caldwell,"2020-01-08",mobile,87.31,3
A,1014,Wanda Smith DVM,"2023-11-10",mobile,33.66,5
B,1015,Shelly Blackburn,"2021-07-26",mobile,274.82,5
A,1018,Marissa Williams,"2022-07-12",mobile,1136.71,7
A,1020,Crystal Walters,"2023-03-31",mobile,180.57,4
B,1021,Brian Kennedy DVM,"2024-11-18",mobile,449.98,4
B,1023,Michael Fernandez,"2021-07-26",mobile,300.15,6
A,1030,Alexis Tucker,"2020-09-06",mobile,180.68,6
A,1032,Ryan Davis,"2023-05-14",mobile,135.47,2
B,1035,Kimberly Gomez,"2021-09-27",mobile,19.45,5
A,1036,Catherine Curry,"2021-12-19",mobile,300.94,2
B,1037,Leslie Krause,"2020-08-11",mobile,203.81,2
B,1039,Nicole Wise,"2022-03-30",mobile,75.85,7
A,1042,Sandy Rodriguez,"2022-07-17",mobile,217.48,3
B,1043,Joshua Snow,"2021-06-17",mobile,224.35,2
B,1045,Pamela Dixon,"2023-11-25",mobile,402.2,2
B,1049,Hunter Miller,"2021-11-29",mobile,372.59,3
A,1050,Richard Dixon,"2024-10-18",mobile,648.81,6
A,1056,Brittney Lozano DDS,"2024-05-23",mobile,131.44,2
A,1060,Russell Wright,"2020-08-08",mobile,213.95,4
B,1061,Nancy Santiago,"2024-03-09",mobile,578.08,8
A,1062,Tiffany Simpson,"2024-01-24",mobile,238.75,4
B,1063,Mark White,"2024-03-22",mobile,47.24,5
B,1065,Rebecca Parrish,"2021-11-28",mobile,258.5,4
B,1081,Elizabeth Wilkins,"2021-05-12",mobile,162.54,6
B,1085,Kyle Newton,"2020-10-31",mobile,238.16,3
B,1087,Amy Stein,"2021-01-08",mobile,588.06,5
B,1091,Kyle Gonzales,"2021-01-02",mobile,24.62,5
A,1096,Brad Glenn,"2024-10-12",mobile,208.68,7
A,1098,Christy Christian,"2024-05-25",mobile,217.41,4
A,1106,James Walker,"2020-03-03",mobile,645.9,5
B,1107,Beth Black,"2025-02-04",mobile,65.67,2
B,1109,Ryan Torres,"2024-05-03",mobile,489.98,5
B,1111,Patricia George,"2022-07-24",mobile,40.08,8
A,1112,Victor Evans,"2020-08-09",mobile,238.79,6
B,1113,Diane Sharp,"2025-10-10",mobile,365.06,9
A,1114,Susan Reid,"2025-10-22",mobile,133.7,6
B,1119,Toni Strickland,"2024-05-26",mobile,64.93,2
B,1121,James Mckenzie,"2021-09-06",mobile,11.2,2
A,1124,Shawn Davis,"2025-01-28",mobile,86.88,4
A,1126,James Warren,"2025-02-13",mobile,321.88,3
B,1129,Kristine Hurst,"2023-07-04",mobile,111.29,4
A,1136,Ashley Blake,"2024-12-12",mobile,52.94,5
A,1140,Heather Franklin,"2023-11-30",mobile,439.64,3
A,1144,Laura Anderson,"2025-05-31",mobile,227.42,2
B,1145,Christine King,"2021-04-07",mobile,50.83,4
B,1151,Dennis Walter,"2025-09-30",mobile,122.58,6
A,1152,George Brown,"2024-04-29",mobile,208.56,3
B,1153,Adam Jennings,"2024-02-28",mobile,65.6,5
B,1161,Gloria Obrien,"2021-11-23",mobile,46.41,2
A,1162,Karen Roberson,"2025-04-23",mobile,56.64,3
B,1163,Brittany Good,"2024-05-17",mobile,40.15,3
B,1171,James Gordon,"2025-07-05",mobile,78.92,5
A,1176,Nicholas Murillo,"2023-02-22",mobile,55.33,2
B,1177,Daniel Davies,"2023-01-04",mobile,90.15,4
A,1178,Brittany Franco,"2025-05-08",mobile,195.94,3
B,1181,Alexis Ward,"2020-07-10",mobile,207.65,2
B,1185,Laura Campos,"2024-06-20",mobile,132.73,7
A,1186,Dr. Michelle Mullins MD,"2024-07-03",mobile,521.36,7
A,1192,Todd Sanchez,"2021-08-14",mobile,42.92,5
B,1193,Ryan Brown,"2022-12-27",mobile,130.96,2
B,1195,Becky Moreno,"2022-07-21",mobile,546.72,5
B,1199,Alexa Schmitt,"2025-07-20",mobile,260.67,2
A,1208,John Campbell,"2020-07-13",mobile,154.48,2
B,1209,Mark Bridges,"2024-05-12",mobile,277.36,5
A,1210,Sarah Acevedo,"2021-02-03",mobile,213.41,5
B,1211,Trevor Davis,"2023-03-10",mobile,141.42,7
B,1213,Deborah King,"2021-08-19",mobile,98.96,2
A,1214,Isaiah Jones MD,"2022-04-15",mobile,283.41,3
B,1215,Nicole Bryant,"2024-12-10",mobile,100.79,4
A,1216,Anita Wiggins,"2021-09-20",mobile,112.75,3
B,1219,Gary Martin,"2025-07-05",mobile,19.86,2
A,1224,Sarah Graham,"2024-08-13",mobile,94.29,3
A,1230,Jennifer Thompson,"2020-06-16",mobile,117.71,6
B,1233,Matthew Bautista,"2021-11-22",mobile,42.33,2
A,1234,Mia Drake,"2024-10-07",mobile,245.05,5
A,1240,Paul Parks,"2023-08-18",mobile,127.86,8
B,1241,Vickie Owen,"2020-05-15",mobile,73.02,2
A,1242,Angela Watson,"2024-12-27",mobile,116.67,5
A,1248,Evan Jones,"2022-01-17",mobile,87.79,3
B,1253,Michael Murray,"2023-07-03",mobile,296.71,5
B,1257,Jimmy Matthews,"2025-02-09",mobile,324.1,2
A,1262,Kimberly Collins,"2024-02-09",mobile,399.46,2
B,1263,James Sullivan,"2025-08-19",mobile,153.91,2
A,1264,Albert Pugh,"2022-12-18",mobile,50.01,4
B,1265,Adam Patterson,"2021-05-30",mobile,98.37,7
A,1268,Amy Bailey,"2022-10-03",mobile,28.89,3
B,1271,Benjamin Mcknight,"2020-10-02",mobile,57.06,2
A,1282,Benjamin Howard,"2020-06-24",mobile,189.41,4
A,1292,Julie Lara,"2023-06-15",mobile,371.54,8
A,1294,Russell Mcdonald,"2021-04-09",mobile,90.88,5
A,1298,Christopher Campos,"2024-02-25",mobile,371.73,6
B,1299,Ashley Miller,"2025-04-07",mobile,107.02,5
A,1302,Alan Padilla,"2024-03-18",mobile,716.07,4
B,1303,Ashley Dickson,"2024-09-22",mobile,409.81,3
A,1304,Brandon Perez,"2024-03-26",mobile,185.19,5
B,1305,Monique Cox,"2020-12-11",mobile,177.51,3
A,1306,Connor Rodriguez,"2022-03-05",mobile,48.72,6
A,1308,Tammy Sanchez,"2022-10-03",mobile,359.16,4
B,1309,Ashley Cooper,"2023-05-28",mobile,176.47,6
B,1311,Donna Hamilton,"2022-11-21",mobile,316.41,3
A,1312,Nathaniel Hill,"2025-06-05",mobile,13.48,3
B,1313,Teresa Buckley,"2023-10-10",mobile,83.06,3
A,1314,Kimberly Yu,"2023-12-23",mobile,466.97,4
A,1316,Maria Rodriguez,"2023-07-01",mobile,284.18,3
A,1318,Mariah Rogers,"2024-08-18",mobile,167.56,3
B,1319,Laura Camacho,"2020-01-15",mobile,164.74,2
B,1339,Isabel Adams,"2025-05-31",mobile,118.88,2
A,1340,Shane Moore,"2022-01-17",mobile,394.73,2
B,1341,Amanda Buckley,"2024-07-22",mobile,42.89,2
B,1343,Peter Adams,"2020-02-17",mobile,120.85,4
A,1344,David Schultz,"2025-10-18",mobile,721.8,4
B,1345,Carlos Duncan,"2022-10-23",mobile,39.99,2
B,1353,Kylie Taylor,"2021-12-20",mobile,63.12,10
A,1356,Leah Ward,"2024-05-18",mobile,95.46,4
A,1360,Julie Berger,"2024-12-05",mobile,413.57,4
B,1361,Susan Bell,"2023-11-21",mobile,139.35,4
B,1369,Robin Frederick,"2023-07-14",mobile,146.97,3
B,1375,Joseph Ayala,"2022-05-09",mobile,228.9,7
A,1378,Marcus Jordan,"2024-08-30",mobile,62.33,5
B,1379,James Orr,"2023-08-08",mobile,43.33,3
B,1381,Courtney Murphy,"2021-05-04",mobile,411.4,4
B,1383,Daniel Jensen,"2021-06-24",mobile,205.14,5
B,1385,Mark Stevens,"2020-09-25",mobile,105.49,5
A,1388,Anita Carney,"2024-04-24",mobile,172.67,4
B,1393,Joseph Perez,"2025-06-11",mobile,15.13,8
A,1394,Andrew Martin,"2024-10-21",mobile,110.27,3
A,1398,Janet Romero,"2023-05-09",mobile,376.8,4
